country,year,sex,age,suicides_no,population
Brazil,2003,male,55-74 years,1002.0,8263894.0
Brazil,2003,male,75+ years,220.0,1335479.0
Brazil,2004,female,15-24 years,403.0,17657631.0
Brazil,2004,female,25-34 years,347.0,15276057.0
Brazil,2004,female,35-54 years,606.0,23041317.0
Brazil,2004,female,5-14 years,59.0,17135875.0
Brazil,2004,female,55-74 years,237.0,10012930.0
Brazil,2004,female,75+ years,51.0,2230220.0
Brazil,2004,male,15-24 years,1275.0,18054195.0
Brazil,2004,male,25-34 years,1475.0,15070514.0
Brazil,2004,male,35-54 years,2230.0,21738104.0
Brazil,2004,male,5-14 years,48.0,17787328.0
Brazil,2004,male,55-74 years,994.0,8573117.0
Brazil,2004,male,75+ years,270.0,1415780.0
Brazil,2005,female,15-24 years,405.0,17659079.0
Brazil,2005,female,25-34 years,369.0,15551589.0
Brazil,2005,female,35-54 years,664.0,23583263.0
Brazil,2005,female,5-14 years,54.0,17107519.0
Brazil,2005,female,55-74 years,259.0,10396739.0
Brazil,2005,female,75+ years,53.0,2343149.0
Brazil,2005,male,15-24 years,1247.0,18077858.0
Brazil,2005,male,25-34 years,1464.0,15374079.0
Brazil,2005,male,35-54 years,2490.0,22232378.0
Brazil,2005,male,5-14 years,52.0,17760955.0
Brazil,2005,male,55-74 years,1175.0,8908847.0
Brazil,2005,male,75+ years,297.0,1488505.0
Brazil,2006,female,15-24 years,387.0,17631557.0
Brazil,2006,female,25-34 years,333.0,15862415.0
Brazil,2006,female,35-54 years,708.0,24105759.0
Brazil,2006,female,5-14 years,61.0,17077355.0
Brazil,2006,female,55-74 years,265.0,10786642.0
Brazil,2006,female,75+ years,47.0,2466737.0
Brazil,2006,male,15-24 years,1293.0,18063460.0
Brazil,2006,male,25-34 years,1537.0,15717099.0
Brazil,2006,male,35-54 years,2536.0,22709135.0
Brazil,2006,male,5-14 years,64.0,17731288.0
Brazil,2006,male,55-74 years,1112.0,9247477.0
Brazil,2006,male,75+ years,275.0,1575798.0
Brazil,2007,female,15-24 years,379.0,17547530.0
Brazil,2007,female,25-34 years,392.0,16189977.0
Brazil,2007,female,35-54 years,723.0,24591528.0
Brazil,2007,female,5-14 years,51.0,17015233.0
Brazil,2007,female,55-74 years,275.0,11208413.0
Brazil,2007,female,75+ years,51.0,2581330.0
Brazil,2007,male,15-24 years,1267.0,17991928.0
Brazil,2007,male,25-34 years,1609.0,16075775.0
Brazil,2007,male,35-54 years,2516.0,23156759.0
Brazil,2007,male,5-14 years,67.0,17669069.0
Brazil,2007,male,55-74 years,1220.0,9611434.0
Brazil,2007,male,75+ years,305.0,1654216.0
Brazil,2008,female,15-24 years,398.0,17432076.0
Brazil,2008,female,25-34 years,365.0,16515414.0
Brazil,2008,female,35-54 years,745.0,25056164.0
Brazil,2008,female,5-14 years,49.0,16914401.0
Brazil,2008,female,55-74 years,309.0,11656750.0
Brazil,2008,female,75+ years,52.0,2693428.0
Brazil,2008,male,15-24 years,1375.0,17889839.0
Brazil,2008,male,25-34 years,1706.0,16430646.0
Brazil,2008,male,35-54 years,2608.0,23591045.0
Brazil,2008,male,5-14 years,55.0,17566837.0
Brazil,2008,male,55-74 years,1204.0,9996938.0
Brazil,2008,male,75+ years,318.0,1728094.0
Brazil,2009,female,15-24 years,343.0,17321655.0
Brazil,2009,female,25-34 years,351.0,16810330.0
