country,year,sex,age,suicides_no,population
Thailand,2004,male,75+ years,93.0,719132.0
Thailand,2005,female,15-24 years,117.0,5146603.0
Thailand,2005,female,25-34 years,187.0,5511934.0
Thailand,2005,female,35-54 years,383.0,10311164.0
Thailand,2005,female,5-14 years,12.0,4737188.0
Thailand,2005,female,55-74 years,175.0,4480508.0
Thailand,2005,female,75+ years,33.0,996752.0
Thailand,2005,male,15-24 years,458.0,5246514.0
Thailand,2005,male,25-34 years,838.0,5394031.0
Thailand,2005,male,35-54 years,1128.0,9695484.0
Thailand,2005,male,5-14 years,26.0,4951038.0
Thailand,2005,male,55-74 years,486.0,3955327.0
Thailand,2005,male,75+ years,94.0,756122.0
Thailand,2006,female,15-24 years,91.0,5071455.0
Thailand,2006,female,25-34 years,139.0,5487543.0
Thailand,2006,female,35-54 years,339.0,10529498.0
Thailand,2006,female,5-14 years,13.0,4652889.0
Thailand,2006,female,55-74 years,147.0,4640141.0
Thailand,2006,female,75+ years,27.0,1054449.0
Thailand,2006,male,15-24 years,378.0,5162684.0
Thailand,2006,male,25-34 years,765.0,5386410.0
Thailand,2006,male,35-54 years,1150.0,9887556.0
Thailand,2006,male,5-14 years,14.0,4871391.0
Thailand,2006,male,55-74 years,458.0,4090909.0
Thailand,2006,male,75+ years,87.0,801587.0
Thailand,2007,female,15-24 years,89.0,4762664.0
Thailand,2007,female,25-34 years,159.0,5419991.0
Thailand,2007,female,35-54 years,356.0,9981463.0
Thailand,2007,female,5-14 years,9.0,4486048.0
Thailand,2007,female,55-74 years,155.0,4278519.0
Thailand,2007,female,75+ years,43.0,1017629.0
Thailand,2007,male,15-24 years,406.0,4948804.0
Thailand,2007,male,25-34 years,798.0,5444545.0
Thailand,2007,male,35-54 years,1149.0,9422822.0
Thailand,2007,male,5-14 years,16.0,4752235.0
Thailand,2007,male,55-74 years,470.0,3718870.0
Thailand,2007,male,75+ years,104.0,708031.0
Thailand,2008,female,15-24 years,97.0,4741877.0
Thailand,2008,female,25-34 years,143.0,5373526.0
Thailand,2008,female,35-54 years,398.0,10132362.0
Thailand,2008,female,5-14 years,11.0,4409659.0
Thailand,2008,female,55-74 years,173.0,4389154.0
Thailand,2008,female,75+ years,50.0,1054269.0
Thailand,2008,male,15-24 years,374.0,4934951.0
Thailand,2008,male,25-34 years,757.0,5411804.0
Thailand,2008,male,35-54 years,1188.0,9562677.0
Thailand,2008,male,5-14 years,13.0,4676722.0
Thailand,2008,male,55-74 years,473.0,3802960.0
Thailand,2008,male,75+ years,101.0,726812.0
Thailand,2009,female,15-24 years,100.0,4716781.0
Thailand,2009,female,25-34 years,142.0,5309573.0
Thailand,2009,female,35-54 years,382.0,10260748.0
Thailand,2009,female,5-14 years,17.0,4329225.0
Thailand,2009,female,55-74 years,185.0,4542278.0
Thailand,2009,female,75+ years,35.0,1099718.0
Thailand,2009,male,15-24 years,369.0,4914657.0
Thailand,2009,male,25-34 years,707.0,5357432.0
Thailand,2009,male,35-54 years,1172.0,9681789.0
Thailand,2009,male,5-14 years,20.0,4588799.0
Thailand,2009,male,55-74 years,542.0,3927105.0
Thailand,2009,male,75+ years,116.0,755613.0
Thailand,2010,female,15-24 years,120.0,4702548.0
Thailand,2010,female,25-34 years,164.0,5237458.0
Thailand,2010,female,35-54 years,345.0,10369541.0
Thailand,2010,female,5-14 years,14.0,4244226.0
Thailand,2010,female,55-74 years,164.0,4724470.0
Thailand,2010,female,75+ years,41.0,1146473.0
Thailand,2010,male,15-24 years,387.0,4905031.0
Thailand,2010,male,25-34 years,688.0,5293421.0
Thailand,2010,male,35-54 years,1166.0,9786527.0
Thailand,2010,male,5-14 years,16.0,4496770.0
Thailand,2010,male,55-74 years,511.0,4075634.0
Thailand,2010,male,75+ years,145.0,787665.0
Thailand,2011,female,15-24 years,95.0,4723611.0
Thailand,2011,female,25-34 years,147.0,5172436.0
Thailand,2011,female,35-54 years,361.0,10474832.0
Thailand,2011,female,5-14 years,12.0,4164365.0
Thailand,2011,female,55-74 years,217.0,4948016.0
Thailand,2011,female,75+ years,56.0,1205643.0
Thailand,2011,male,15-24 years,357.0,4929387.0
Thailand,2011,male,25-34 years,782.0,5237957.0
Thailand,2011,male,35-54 years,1227.0,9897542.0
Thailand,2011,male,5-14 years,19.0,4413405.0
Thailand,2011,male,55-74 years,488.0,4266668.0
Thailand,2011,male,75+ years,112.0,827970.0
Thailand,2012,female,15-24 years,84.0,4728702.0
Thailand,2012,female,25-34 years,162.0,5050719.0
Thailand,2012,female,35-54 years,394.0,10521850.0
Thailand,2012,female,5-14 years,14.0,4056666.0
